Unnamed: 0,Review,Original_aspect,Keyword,Product Link,Review Star,Sentiment
11,"… And they’re good for the planet! I will admit that I feel very good about doing my small part in helping the Environment, Mother Earth
🌏 with great products, win-win !! Love the scents and easy quick cleanups. Don’t hesitate to order 👍","intefernce, ease of reprocessing, ease of use","quick, cleanups, scents","Amazon.com: BLUELAND Clean Home Kit (3 Reusable Bottles + 3 Tablet Refills) Natural All Purpose Cleaner for Kitchen and Counters, Bathroom Cleaner for Shower and Sink, and Foaming Hand Soap : Health & Household",5.0,Positive
12,Ease of use. Scents are very clean. Works very well. Love having these products to clean my home in less toxic way.,"Safety, aesthics, inteference","Toxic, clean, scents",,,Positive
13,"I really like the smell of these and I love the idea of them as well. I just don't feel that they really clean. I Really love the hand soap and will for sure keep buying it. My grandmother really liked the multi-purpose cleaner, she thought it did a really good job, I wasn't supper impressed with it myself though. The bathroom cleaner was my favorite smell wise but was the one I questioned the most when cleaning with, I felt like I was cleaning with just water and the bathroom is the one place where I want to be 100% sure I'm cleaning well. I would definitely recommend giving them a shot though as me and my grandmother had very different opinions on them so maybe you'll be more impressed than I was.
8 people found this helpful",Performance,clean ,,4.0,Negative
14,"Love the product, but plunger on hand soap stopped working, after only one tab, actually about 1/2 way through first tab. If you could send me another one (plunger) that would be great. Thanks","Durability, performance",Stopped working,,,Negative
15,Cleaners work ok but would recommend any hevey cleaning with them. Handsoap is good. Bottles not so good... Cleaner bottles broke after couple of uses. Handsoap bottle never really worked great to begin with. Tried a different brand Tirtyl that is pretty good. Equipment definitely better quality. I been using my blueland products in my Tirtyl equipment. Blueland not a bad product but I Will stick with Tirtyl products,"Durability, performance","not so good, bad",,3.0,Negative
16,I love the concept of it all to begin with. The handsoap however I find very watery. I have trouble with one of the larger spray bottles....the trigger doesn't work well. There really isn't much of a scent which I miss a little but it's not a deal breaker. There was a code for 3 free tablets in the box however you need to buy other products in order to redeem. I am not giving up on this product because like I said I do love the concept.,"performance, intefernce","watery, scent",,,Positive
17,"I ordered the the piece set- a multipurpose cleaner, bathroom cleaner and hand soap. They sent me two of the same bottles (both yellow) so that it’s impossible to tell the different cleaners apart. Aside from that, the spray nozzles on both bottles leak TERRIBLY. Aside from that, the cleaner bottles are plastic (probably could have learned that if I’d read more closely, but still not the glass I was expecting). I like the scents and the hand soap works adequately (not a lot of sud); the bottle for the hand soap is nice. I’m hoping the seller will seems me the correct bottle at least.","Durability, performance","Leak terribily, plastic",,2.0,Negative
18,"Play Video
 I really wanted to like this. I like the idea behind the company and I am trying to avoid single-use plastics. However, this just didn't pan out. I was concerned with the longevity of the spray bottles considering that they're reusable. However, when it breaks on the first use, then I'm not really cutting down on my single-use plastics. And the other bottle just keeps leaking, though I'm not sure from where. Every time I pick it up, there's a puddle underneath.

Sorry for the wobbly video, I was trying to show that I toggled the spray bottle off and then on again.

PROs:
+ Quick delivery
+ Straight forward instructions
+ Only need water
+ Biodegradable packaging
+ Foaming handsoap bottle is durable and made of glass

CONs:
- Spray bottle for the Multipurpose cleaner broke on the first spray
- Spray bottles are both made of plastic
- Leaking bottle

TLDR:
Handsoap bottle is glass
Both spray bottles are plastic
Spray mechanism broke on first use
One bottle leaks continuously","Durability, performance","broke, leaking, plastic",,,Negative
19,This seems like a good product and I’ve been suing for about a month. Have a ton of refills. Now the nozzle won’t work. There is no way to order just a new nozzle. And you can’t even contact the company. Come on! How is this a sustainable product if you can’t reuse the bottle? That’s the entire point!,"Ease of Use, Ease of reprocessing, Durability","nozzle wont work, cant reuse",,1.0,Negative
20,"Shipping was fast and it was packaged very well. My problem is that both of the sprayers leaked immediately. The tablets that you put in had been broken, which is strange because it was packed so well. Lastly, the scent of each item wasn't the best, but that is an individual thing.","inteference, durability","wasn't the best, leaked",,,Negative
21,"Nice and compact when folded down. Filled it with hot coffee. Turned it upside down as a test. No leak. Nice insulating sleeve to protect your hand from touching the cup when filled with hot liquid. Sleeve fits underneath when cup is folded up. No foreign taste from the cup. Easy to clean, dry and pack.

I’m going to use it to take a cup of water onto my next plane ride. Once i drink it I can fold it down out of the way.

Very happy with my cup.","ease of storage, performance, ease of use, ease of reprocessing","compact, no foreign taste, easy to clean","Amazon.com: Customer reviews: Stojo Collapsible Travel Cup - Denim, 470ml - Leak-Proof Reusable To-Go Pocket Size Silicone Bottle for Hot &amp; Cold Drinks - Camping &amp; Hiking - Dishwasher Safe - No Straw Included",5.0,Positive
22,"Love these, Works Pretty well, If you get Black then it doesn't stain the material with Tea or Coffee Stains, or rather you can't see it.. but for what its designed to do, its portable, looks nice, easy to use, I bought a couple of these and I still use them months later without any issues, very durable and hasn't torn or anything. Gotta give this 5 Stars.","aesthics, adaptability,durability,ease of storage, ease of use","looks nice, easy to use, durable",,,Positive
23,"I typically use this for cold beverages, haven’t tried it for hot.
Very easy to carry around. I bought this for flights, so I could avoid getting those single use cups.
Only downside is that collapsing it isn’t very intuitive and I struggled with it initially. Otherwise perfect.","ease of storage, ergonomics","carry, isn't intuitive",,4.0,Positive
24,"Overall the cup is great, I just wanted something to reduce as much single use plastic as I could. I wanted a light collapsible cup that was easy to just have on me. This is that.

With that said, the cup leaks a lot, so the leakproof claim is nonsense.

The top is also weirdly wide and can be difficult to get open if you’ve really tightened it a lot.

I’d recommend it, but it isn’t a cup you fill up and toss in your bag.","performance, ergonomics, aesthics","leak, difficult, weirdly wide",,,Positive
25,"I love the design and convenience of this product, but it’s hard to screw the top on and often doesn’t align with the tracks. I have to unscrew and rescrew on a few times before it’s right. I also have to screw it on extra tightly to ensure it doesn’t leak.","performance, ergonomics, aesthics","convenienve, leak",,3.0,Neagtive
26,I did use this while traveling and it was very useful being able to just collapse and tuck away... But it isn't leak proof. Thought maybe I was cross threading the lid. Nope. After a few months of use it's kind of tucked away hardly used now.,"Performance, durability, ease of storage","collapse, tuck, leak",,,Neagtive
27,"This cup does exactly what it says. However, I thought it would be a nice compact replacement, lilghtweight replacement for my. What I found out is you can't carry it in the cup pouch of a backpack or toss it in your tote without it leaking. I also isn't insulated and it weighs about the same as my travel mug. I abandoned my plan to have a cute, collapsible cup on my overseas trip and stuck with my tried and true insulated travel mug. Sorry travel cup, I thought I would love you, but I don't.","adaptability, performance","leaking, isn't insulated, weighs",,2.0,Neagtive
28,Really liked it for the first few weeks. Slowly began to notice all my drinks smelled like…soap? I’ve washed this with hot water and a mild soap and can’t get rid of the smell. It’s like the silicone absorbed it? Unfortunately cannot recommend.,"intefernce, safety","soap, smell, silicone",,,Neagtive
29,"I really wanted to like this product, but I just can’t. It leaks every time I use it. They give you instructions to keep the lid and the rim dry to ensure a tight seal and every single time I use it I make sure it’s dry but it constantly leaks. There really shouldn’t be a need for instructions onto how to keep a tight seal there should just simply be one. I don’t know what the difference is between this cup and the bottle they have but the bottle doesn’t leak.","performace, ergonomics","tight, leaks",,1.0,Neagtive
30,I like the portability of this cup but everything else is aweful. It just does not shut despite using all my muscles to get the lid into shut. My video is even better. I should be given a Nobel Peace Prize for uncovering a great injustice of false marketing of this product.,"ease of storage, intefernce,  performance, ease of use, ease of reprocessing","Portability, shut",,,Neagtive
31,"I love these storage containers. After washing them in the upper part of the dishwasher they were ready for use and have not disappointed. My food stayed fresh and there were no leaks. They flatten when empty for storage. I haven’t used them in the microwave, but they would be good there, too.","performance,ease of storage, ease of reprocessing","ready, fresh, no leaks, storage","Amazon.com: Stasher Silicone Reusable Storage Bag, 1/2 Gallon (Aqua) | Food Meal Prep Storage Container | Lunch, Travel, Makeup, Gym Bag | Freezer, Oven, Microwave, Dishwasher Safe, Leakproof",5.0,Positive
32,"Great for Ramen at work. In general, I love the bags. I always eat a sandwich for lunch and felt SO wasteful tossing ziplock bags in the garbage. These are great! I had leftover bell pepper slices in the fridge for days and they kept beautifully, still had crispness to them.","performance, aesthics","beautifully, cirspness",,,Positive
33,"These were as described by the seller, packaged well, and arrived in a timely manner. These are very difficult to dry because they will close up on you. I had to prop them open up over small dipping sauce container which was a chore in itself. The smaller two hold very little. I passed these along to my daughter to use for her lunches to work. I would not make this purchase again.
7 people found this helpful",intefernce,difficult,,4.0,Negative
34,"I use this Stasher bags to store single-serve portions of fruits & veggies in the freezer for my shakes. I love the quality and that they are leak proof when sealed properly, but after the 1st use I noticed thar the bag is pretty stinky inside. I think it picks up the freezerburn smell. Fortunately, I don't notice any change in taste to the food. I have several Stasher bags & noticed the stickiness with all of them, so it's not specific to a color.",intefernce,"stinky, smell",,,Negative
35,"hard to tell from photos but this is small. like a coin pouch small. hard to get inside to scrub clean, so not sure if i will be able to put saucy things in there. was able to fit ~2 servings of mixed nuts (70g). was hoping to use for sliced apples but will have to get a bigger size for that.

pros -- easier to fit into a pocket than a 1/4 cup container and no lid to have to hold onto or potentially lose.
cons -- smol and may be hard to clean.","ease of reprocessing, performance","hard, scrub, clean, small",,3.0,Negative
36,"I felt confident about the closure seal and keeping my peanut butter and Nutella sandwich fresh. However, the containers seemed just a bit to small to easily get the sandwich in and out. Washing it up is OK. Update from the one who actually washes dishes: stuff stuck in the closure seal was not easy to remove. Took too much water to clean it. And a sandwich thicker than a PB&J is really hard to fit in the bag. Best use would be for something like carrot and celery sticks to go with the sandwich. Definitely not for something juicy or saucy.","ease of storage, ease of reprocessing, performance","hard, fit, suck, small",,,Negative
37,"They appear well made which is why they got two stars at all. These are the ""lunch"" size bags. The opening was not wide enough to get a sandwich in the bag. And they are supposed to be able to be cleaned in the dishwasher. They came out of the dishwasher with spots and a film. I had really high hopes for these bags because I have heard good things but I will have to find some other use for them because I won't use them for food.","ergonomics, intefernce","not wide, spots, film",,2.0,Negative
38,"I bought these for dog treats but I can't use them. 1. The seal is really hard to open so these are great as a form of Fort Knox but not great if you need easy spontaneous access. 2. Way to small to get my hand in (I'm a 5'2"" woman) so you really need to use these for items you want to spill into your hand. 3. Hard to clean only because the opening is so small. Really quality silicone but just think through their use for your particular situation because they are very expensive and will still be around long after humans are extinct.","ergonomics, performance, ease of reprocessing","hard to open, small, hard to clean",,,Negative
39,The pocket size barely opens. I had much difficulty getting anything in or out of it. Very disappointing as I decided to pay for the original brand of reusable silicone containers.,"ergonomics, ease of use",barely opens,,1.0,Negative
40,"I liked it… or at least the idea of it…

The seal is not great, so if it has air in it and the slightest pressure hits it, it will pop open.

Cleaning is difficult because you really have to scrub the edges. Then drying it is hard because you have to find a way to keep it open to fully dry.

The quality is majorly lacking… I was disappointed… we literally only stored goldfish and kettle chips in this as a snack. And it busted. We’re super careful with our stuff. And this was over double the price of another silicone storage bag (that hasn’t broken, mind you).

I would research all options, first.","Ease of reprocessing, ease of use  ","cleanning difficult, pop",,,Negative
41,"I've had one before, so I thought I would get another.
Hi folks American's and people from a far.
Theses work and are simple to use great to carry when hiking and out and about or when the big one hits.
You could have all the money in the world but if you need water and I'm the only one who can provide
I guess I'm rich now.
Folks get one you just never know and it's, good to be safe why not.","Ease of use, ease of storage, safety","simple to use, great to carry, safe","Amazon.com: Customer reviews: LifeStraw Personal Water Filter for Hiking, Camping, Travel, and Emergency Preparedness, 1 Pack, Blue",5.0,Positive
42,"The Lifestraw is a perfect fit for easy water purification in an intuitive, effective package. The lifestraw is convenient for backpacking. The device is small and lightweight. It requires less time and knowledge than many other methods of purification. I could see this as being useful for backpackers, campers, and those folks with ""bug out bags"" ready for an apocalypse.","ease of use, use efficiency, ease of storage","effective, easy, lightweight, small",,,Positive
43,This was larger than I thought it would be. Feels super sturdy. Hope to never use it but I love knowing I have it for my bugout bag.,Durability,sturdy,,,Positive
44,I am surprise with the quality of the item. Works and stores very easily. Went on a 14 mile hike with this bad boy and it worked beautifully. I also brought other means of hydration with me but this is a good and safe first or second option.,"Ease of storage, safety","safe, stores very well",,,Positive
45,"Harder to suck through than I had thought, but it works. I drank from a stream, tasted fine, no problems. I'd hate to have to rely on it. It's a good thing to have in an emergency bag, or on a long hike just in case. It doesn't take the place of a good water filter for backpacking IMO
One person found this helpful","Ease of Use, Use efficency","harder, suck",,4.0,Negative
46,"When I was shopping for something to use for hiking trips and for emergency, I read some reviews that say that you have to suck really hard to drink but it is not the case. I have an ultra violet light wand I used when I went to Morocco and I think it worked because both my husband and I drank the water and we were ok. This is lightweight, no need to put battery or replace any parts. The trick is the first sip does require a few draw before water comes up then it is quite easy. The limitation is you cannot filter water for other uses (cooking or washing) besides drinking or perhaps brushing teeth (would be a little cumbersome). So we got the water purification tablets as well. For its intended purpose, it is not bad.","adaptability, performance","limitation, worked",,,Positive
47,"I only tried once and it wasn't the ideal scenario. Kinda low creek. Kinda rocky, muddy shoreline. Couldn't lay down or crouch really easily. You have to get way down to use so unless it is a certain scenario, it is not ideal. Plus there is a kinda counter suction that empties the well out when you're done or something but you do have to suck to pull water. I wish there was a counterweighted hose filter that pulls water out of the creek and fills a container if that makes sense.",Ergonomics,not ideal,,,Negative
48,"Primed it no issue, drank a few times out of it no issue. Now it is completely blocked. No water can come in. You can backwash a little then it builds pressure again and you can't send air/water either direction. So glad I found that out before I was in the field. I'll stick to my Berkey bottle. Neither of them have ever let me down.","performance, durability, inteference","blocked, no water, pressure",,3.0,Negative
49,"Worked great the first trip, but couldn’t get any suction a week later. Only used in clear stream water, so don’t know why it seems clogged. Had this happen with one I bought previously too, and thought maybe the first one was just defective since otherwise Lifestraws have pretty decent ratings, but I concluded Lifestraws just have inconsistent reliability, some are probably great and some can leave you in a bind. So far my Sawyer mini-squeeze seems to work much better and consistently.","performance, durability, intefernce","defectuve, clogged",,,negative
50,I was disappointed-- since I am giving this as a gift--- they were just 2 loose sticks with no instructions or paperwork. I am giving these to my Grandson who is in the scouts for there camping trips. I have no idea if he knows how to use these and I certainly don't.,Ease of use,"no instructions, no idea",,2.0,negative
51,"I purchased 3 LifeStraws when they were on sale. Being an avid hiker and starting to dabble in backpacking, I'd heard of the LifeStraw millions of times and was excited to finally add one to my pack. I'll start by saying the LifeStraw is really for emergency use only. You literally either have to a) lay on your stomach at a water source and sip your brains out through the straw or b) fill up a cup and sip through that. Either way, the LifeStraw is not a great solution for getting clean water while hiking/backpacking. There is no possible way to use the LifeStraw to filter water into your Camelback/waterbottle/etc. Go get a Sawyer Squeeze instead!","Ease of use, ergonomics","sip your brains out, not a great solution",,,negative
52,"You can’t trust this in the real world I took it hunting with me was in a situation where my water supply was lost so luckily had my life straw well it failed it worked great the first use then I blew into it to clear it out and it plugged so I tried to drink more water and guess what it was plugged it wasn’t a huge deal as I was only about 10 hours from my truck so I get to my truck head home and tried it again a few days later same thing sooo I took my air compressor out 40psi in it and blew into both ends nothing so I want to 80psi still nothing finally I stopped at 150psi and literally nothing on the bright side the plastic they use is insanely strong lol
But that’s not why you buy the product I really wish this would’ve worked but alas I’ll have to find another brand.",Performance,"plugged, nothing, fialed",,1.0,negative
52,Highly recommended. It’s a great solution for wrapping leftovers. I like the fact I’m not using plastic to do so for health and environmental reasons.,Safety,health,https://www.amazon.com/Reusable-Wraps-Beeswax-Assorted-Packs/dp/B09TZSZG79?linkCode=ll1&tag=bv-shop-best-sustainable-products-20&linkId=af7fea270f8f8ea5ed0b4d1563ab6a93&language=en_US&ref_=as_li_ss_tl&asc_source=browser&asc_refurl=https%3A%2F%2Fwww.bobvila.com%2Farticles%2Fbest-eco-friendly-products&ascsubtag=0000BV0000215659O0766083120221202080223+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++&th=1,5.0,Positive
54,"These keep food fresh, and, when cared for, last a very long time. I have had mine for years. I clean them with soap and lukewarm to cool water, air dry. They fold very well around bowls, etc, and keep things fresh for several days. I really love these!","performance, durability","Fresh, last a very long time",,,Positive
55,This avocado 🥑 was in fridge and wrapped for four days. Perfectly fresh. What more can I say?!,performance,perfectly fresh,,,Positive
56,"So far I really like these wraps, even used one to wrap a watermelon and it kept for over a week. Very easy to clean. However, they are VERY VERY sticky and difficult to initally open right out of the package. Initally VERY WAXY, tacky and stiff until after the first washing then it is very flexible and great to work with.","ease or reprocessing, intefernce, ergonomics","sticky, difficuly, waxy, tacky, easy to clean",,4.0,Positive
57,"My original review said, ""Compared to other brands of these that I have used, these are difficult to warm up enough to use and when they cool down in the fridge they again become stiff and unwrap themselves to some degree.""

After using them for several months I have changed my view...at first use they were hard to warm up enough but after one use they work very well, easy to wrap most anything and when warmed with hands mold to the shape of whatever you are wrapping. I have used and washed these several times and they continue to perform well. I do not experience any objectionable odor as others have criticized.","ease of use, performance","easy to wrap, perform well ",,,Positive
58,Good so far. Easy to clean and use. I love that there was a variety of sizes and lots of them in the pack unlike the original beeswrap where you only get two to three in a set. The reason this only gets four stars instead of five is because it doesn't seem as sticky as the original beeswrap brand So I'm not sure how long it's going to last it's still sticks to itself and to the food it's just not as sticky. I've used it on cheese fruit and vegetables so far. We'll be trying it on sandwiches coming up for a hike here within the next week or so.,"ease of reprocessing, ease of use  ",easy to clean and use,,,Positive
59,This product either did not receive enough of the wax mixture or just not a great combination of wax used. They don't hold their seal,perforamnce,"not enough was, don’t hold their seal",,3.0,negative
60,I love them and love that they save the environment but oh my goodness they have such a awful smell. It smells like ear wax and give me a huge headache that I can’t even bare,inteference,"smells, ear wax, headache",,,negative
61,These are soooo waxy. I had to run them under hot water to hopefully make them useable,intefernce,sooo waxy,,2.0,negative
62,This product is cute but way over saturated with wax. You get the residue on your hands just by touching it. Most wraps don't leave that residue on you unless you play with the wrap and have it heated in your hands for a while. I didn't even use them because I imagine they would leave that residue on dishes that would be hard to clean. I also believe it'd make it very hard to clean crumbs off.,"intefernce, ease of reprocessing, ease of use","over saturated, hard to clean",,1.0,negative
63,"I really wanted to like this product however, it was not good. It was very sticky and left adhesion marks on my dishware. I am hoping they come out with an improvement and if/when they do, I will try again!",intefernce,"sticky, adhesion marks",,,negative
64,"I like these toothbrushes; they work well and are durable. My dentist said my teeth look great, cleaner than ever, noting “I don’t know what you’re doing, but whatever you’re doing, keep it up.” Shortest cleaning ever. I attribute this to these toothbrushes and my sensodyne toothpaste.","performance, durability","work well, durable",https://www.amazon.com/Biodegradable-Eco-Friendly-Natural-Charcoal-Toothbrush/dp/B077Z2WWP8?linkCode=ll1&tag=bv-shop-best-sustainable-products-20&linkId=1dce15f9b482ef21dd5027834cbd4293&language=en_US&ref_=as_li_ss_tl&asc_source=browser&asc_refurl=https://www.bobvila.com/articles/best-eco-friendly-products&ascsubtag=0000BV0000215659O0722083120221202080300%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20,5.0,positive
65,I was pleasantly surprised by these. For one they are larger and sturdier than I was expecting. The bristles are soft but dense and my mouth feels super clean afterwards. I purchased these because I do not care for how plastic feels against my teeth and gums and this was a satisfactory solution.,"durability, ergonomics","sturdy, soft",,,positive
66,"I originally bought these to keep for guests who might forget their toothbrush — I hated to think I would buy a plastic toothbrush that would be used a couple times before my guest went home to their normal toothbrush. So these are always ready for guests, but I have also taken to using them. I like having an option for when my electronic toothbrush, which does make my teeth feel cleaner than a standard brush, but is sometimes just too loud. I also always travel with one of these bamboo brushes. I don't have to bring a charger for my electric one, it fits in my toiletry bag better, it's ok if I forget it somewhere. I'll keep ordering these happily.","ease of storage, performance, ease of use, ease of reprocessing","fits, cleaner",,,positive
67,"As a family of 5, larger packs are always appreciated. We have now bought these brushes a second time and are beyond pleased with them as a whole. No issues reaching into the tightest of spaces in our mouths. The bristles are just the right amount of softness, so no irritation on some of our sensitive gums and teeth. The best part is we can snap off the handle (if I don't use them to clean with) and either use then somewhere repurposed or compost them! 💚💙","ergonomics, ease of reprocessing","tightest, softness, no irritiation, compose",,4.0,positive
68,I've been using the black bristle toothbrushes for ever and they're great! This was my first time trying the ones with white bristles and they hurt my gums. I'm not sure if they're just not as soft as the black but they hurt so bad I can't use them.,"durability, safety, orgonomics","for ever, hurt, not as soft",,,Negative
69,"The bristles are not soft from the start - they’re just about as hard as regular toothbrushes but they soften within a week or two of use.

I’m not sure how well it whitens since I don’t pay attention to that really, but my one complaint is that one or two bristles come out while brushing every once in a while!

Otherwise, for the number of brushes you get, I’d say it’s decent.","ergonomics, durability","soft, hard, come out",,,positive
70,I wasnt sure what to expect but I was pretty happy. The bristles are soft but almost needle like so they clean nicely in the gums but it made me bleed the first few times. The wood is ok but gets drier after every use and it feels like I'm brushing my teeth with a popsicle stick,"ergonomics, safety, intefernce","soft, bleed, drier",,3.0,Negative
71,"I believed the bristles were soft, however there are some reasons why I wouldn't buy these again. One, after some time mold begins to grow. I didn't find that very appealing, but I made sure to finish the whole box. Secondly, be aware that the bristles can begin to work its way out and become lodged in between your teeth. I like the idea of less plastic waste, but this didn't work well for me.","intefernce, aesthics, durability","mold, appealing, lodged",,,Negative
72,"These arrived well packaged and look like they're good quality, but upon trying them I realized they're not for me. Maybe it's just because I have a small mouth /and/ my teeth are sensitive... but the brush felt bulky and uncomfortable in my mouth and tasted a little odd. Just not my thing.",ergonomics,"bulky uncomfortable, odd",,2.0,Negative
73,"The first toothbrush I used the bristles started coming out in my mouth. I was able to spit all of them out except for one which I swallowed. Disgusting, I'll never buy from seller again.","durability, intefernce, safety","coming out, split, swallowed, disgusting",,1.0,Negative
74,"I'm not a fan of this brand. These are not soft brushes. So, if your teeth are sensitive, stay away. Also, the wood cracks easily, and you can come away with a small bunch of bristles in your mouth. The durability is unreliable. Not good quality.","ergonomics, durability, intefernce","not soft, sensitive, cracks, bristles",,,Negative
75,Perfect WFH standing desk! It is sturdy and functions just as intended! It works greats and the size is perfect for 2 monitors and a laptop with lots of room left. The motor's noise is not that loud and moves up and down well. The multiple height memory modes are great with one click to get to the height you want without manually holding the up and down buttons. The assembly process was slightly longer than expected but looking up and following a video online helps a lot. Love this product and will buy it again!,"durability, performance, ease of use","sturdy, intended, one click",https://www.amazon.com/Flexispot-Workstation-Whole-Piece-Controller-Adjustable/dp/B08MT92NH9?th=1&linkCode=ll1&tag=bv-shop-best-sustainable-products-20&linkId=13e846a75bf195cc8709beb41c9fc39e&language=en_US&ref_=as_li_ss_tl&asc_source=browser&asc_refurl=https://www.bobvila.com/articles/best-eco-friendly-products&ascsubtag=0000BV0000215659O0722083120221202080300%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20,5.0,Positive
76,"Affordable, easy to assemble with two people and is working out so far. My husband really needed a standing desk for his home office to help with posture & tech neck. I read a ton of reviews and looked online and this brand kept showing up! I bought it for him and he has been pleased with it so far.

Only downside is that it ships in two separate pieces and those shipment dates were several days apart. We had to wait to assemble it until everything arrived. Therefore, if you need something ASAP- make sure to factor this in!",ease of use,easy,,,Positive
77,"I received standing desk yesterday on time with no issues on packaging. Assembly is fairly easy. I would suggest please read each steps in installation guide as well as view video. I was able to assemble with no issues. This desk is reasonably heavy and sturdy. Height adjustment features are working on Day 0. I will monitor the function going forward after i will install monitor mount with two monitors. Only thing i observed and I wish that high adjustment buttons on my right hand side, but no big deal.

I highly recommend to buy the desk. Overall nice functional desk. Now my work space is clean and super functional.

I also added device charging mount Desk Clamp Power Strip with USB C,Power Supply for Desk Edge Mount with 3 Outlets,2 USB C ,2 USB A fast Charging Ports,Table Outlets for Home, Office,6ft Extension Cord,Flat Plug(White).",durability,"heavy, sturdy",,,Positive
78,"Overall, I'm happy with this desk. It works well, is sturdy, and looks good. However, note, that you will have to assemble this desk and there are not always pre-drilled holes where you need to insert screws. I had to pre-drill 5 different holes into the wood top to secure everything as instructed in the manual. Manual has a few photos but had to really study the pictures to understand what direction to place things and where the screws should go. Also, the two boxes are very heavy when they are delivered separately. Again, I'm happy with the desk overall but I think it is important to note the amount of work required to assemble this yourself and the heavy boxes you may need to carry.","aesthics ,durability","looks good, sturdy",,4.0,Positive
79,"I didn't like the fact that it wasn't very clear that I needed a drill to assemble it. This should be clear from the product description so that buyers can prepare beforehand.

The desk is good value for money, not 100% sturdy but enough for most needs. I like how it looks and feels.
Standing mechanism is working great so far.","ease of use, aesthics, ergonomics","drill, assemble, looks, feels",,,Positive
80,"I got this desk for me to work on my business in the evenings as I get leg cramping after a while of sitting for too long. I LOVE the functionality of it moving up and down. It is smooth and I love that I can set different favorites.

However, the table itself is of poor quality. It came broken in two spots. I contacted the company right away, and they were diligent enough to respond quickly, and provided me with a partial refund, as it was not usable. I bought a different table top from Home Depot. Therefore, customer service was great, but quality of the top was not.","performance, ergonomics , durability","functionality, smooth, poor quality",,,Positive
81,"The structure is got and was relatively easy to put together. However, the top material of the desk is very bad. It leaves scratches on the skin and also easily defected: my cat just walked by and it left a deep scratch from her paws - that never happened with any furniture I had in my life.
I eventually need to come up with a plan what to cover it with. Poor material, sadly.","performance, safety","bad, scratches, defected,",,3.0,Negative
82,"This desk was pretty easy to set up. It’s very heavy and works well. My only issue so far has been a lack of quality control. There is a scratch that goes from one end of the top of the desk to another and a dent on the side. I made the mistake of not inspecting it before assembling it. I left the desk top facing down in the cardboard while I assembled it, so I didn’t see it. If these issues weren’t present I would feel as if it was money well spent.","intefernce, performance","scratch, quality",,,Negative
