roberta_neg,roberta_neu,roberta_pos,Reviews,Aspect
0.74107933,0.2264568,0.032463882,toxic,Safety
0.016535368,0.58315575,0.40030888,work well faces hands well things like heating tortillas laying bread rises etc,Adaptability
0.08032928,0.77397907,0.14569163,stars precisely square,Aesthetics
0.036817636,0.5594941,0.40368825,colorful,Aesthetics
0.0072609005,0.09631621,0.8964229,colors nice,Aesthetics
0.0032468573,0.14398852,0.8527646,fun group colors,Aesthetics
0.17171416,0.6237893,0.20449646,like style,Aesthetics
0.032973073,0.9031048,0.06392215,tried folding one would dinner party hold shape,Aesthetics
0.03546006,0.53955704,0.42498288,kids like colors,Aesthetics
0.008657826,0.080167964,0.91117424,love colors,Aesthetics
0.0032498308,0.0264345,0.9703157,lovely colors,Aesthetics
0.0055399565,0.14176273,0.8526974,plenty colors choose given time nice,Aesthetics
0.008152483,0.5421046,0.4497429,colors bright photo indicates,Aesthetics
0.0027302762,0.047990512,0.94927925,colors nice bright,Aesthetics
0.006600899,0.22277384,0.7706253,colors vivid cheery,Aesthetics
0.002554888,0.02949068,0.96795446,colors wonderful,Aesthetics
0.8863809,0.09872249,0.014896578,sizing terrible,Aesthetics
0.023154318,0.26305655,0.7137891,texture pleasing,Aesthetics
0.009841801,0.31291035,0.6772478,twelve different colors fun,Aesthetics
0.008866592,0.07014144,0.920992,beautiful,Aesthetics
0.002413084,0.10347997,0.8941069,really brighten kitchen,Aesthetics
0.008866592,0.07014144,0.920992,beautiful,Aesthetics
0.003249319,0.031488404,0.9652623,look nice,Aesthetics
0.015513831,0.1481618,0.8363244,nice big,Aesthetics
0.011188154,0.24514098,0.7436709,pretty colors,Aesthetics
0.017068036,0.31241956,0.67051244,would benefit ironing look fine without,Aesthetics
0.008064866,0.24318151,0.7487536,colors held well,Durability
0.22027048,0.5611728,0.21855673,durable,Durability
0.21115676,0.74614996,0.042693287,faded several months use,Durability
0.02777752,0.7118505,0.26037195,holds well wash leak color,Durability
0.12221803,0.7219729,0.1558091,wash napkins napkins never bled,Durability
0.17600006,0.75720114,0.066798866,noticeable fading washing,Durability
0.0033579702,0.06530172,0.9313403,stands great everyday use,Durability
0.23668171,0.6917499,0.07156843,however fade one wash look like years,Durability
0.38945475,0.57387066,0.036674578,feel heavy duty stiff,Durability
0.21177368,0.6777126,0.11051367,dulled color washings,Durability
0.027195144,0.6391006,0.33370426,hold color well,Durability
0.38335598,0.55179524,0.064848766,thin flimsy,Durability
0.012659594,0.31498563,0.6723548,washed dried normally cold water turned fine,Durability
0.09716461,0.8348239,0.06801143,fall wrinkle wash dried iron,Ease of Reprocessing
0.033165798,0.49770957,0.46912473,easy take care,Ease of Reprocessing
0.12431218,0.59772104,0.27796677,easy wash,Ease of Reprocessing
0.04414687,0.82461095,0.13124211,easy wash needs brief hot iron smooth,Ease of Reprocessing
0.046816822,0.751995,0.20118815,iron smooth hands fold,Ease of Reprocessing
0.39721853,0.56853414,0.034247387,hard get grease oil stains napkins,Ease of Reprocessing
0.12102851,0.6002008,0.27877077,wish would iron little easier,Ease of Reprocessing
0.2699757,0.6653313,0.06469301,real need pressing drying,Ease of Reprocessing
0.28204152,0.6419108,0.07604771,staining either,Ease of Reprocessing
0.233876,0.71141547,0.054708567,wrinkled hard fold,Ease of Reprocessing
0.17090096,0.7483582,0.08074094,come dryer wrinkled fold day wrinkles fall,Ease of Reprocessing
0.02206139,0.18846527,0.7894734,wash nice,Ease of Reprocessing
0.10310914,0.64028275,0.25660813,wash well,Ease of Reprocessing
0.10310914,0.64028275,0.25660813,wash well,Ease of Reprocessing
0.23497903,0.68381125,0.08120974,fabric soft scratchy,Ergonomics
0.30585763,0.56892,0.12522228,soft,Ergonomics
0.30585763,0.56892,0.12522228,soft,Ergonomics
0.03345451,0.28274223,0.6838032,nice soft,Ergonomics
0.026970407,0.69804305,0.27498657,also big enough use two meals wash,Ease of Reprocessing
0.29214004,0.58738494,0.120475,using time,Ease of Use
0.10027081,0.59930605,0.30042315,absorbent,Performance
0.10027081,0.59930605,0.30042315,absorbent,Performance
0.07019486,0.7495404,0.18026471,far napkins go work,Performance
0.04673084,0.32622275,0.6270464,good quality,Performance
0.0104334,0.21275263,0.77681404,great everyday use,Performance
0.048123293,0.63646513,0.31541157,exactly wanted everyday napkins,Performance
0.004599951,0.11771031,0.8776897,great general dinner napkins,Performance
0.2779534,0.57062083,0.15142576,meet needs,Performance
0.0055988804,0.17884885,0.8155523,fabric works well napkin,Performance
0.014369944,0.20747577,0.77815425,napkins great,Performance
0.04316519,0.76866436,0.18817048,considering inexpensive,Price
0.015131824,0.38463855,0.6002296,paid use happily,Price
0.046412524,0.2782583,0.67532915,price good,Price
0.11408844,0.7493746,0.13653699,inexpensive,Price
0.0033351423,0.06766443,0.92900044,also napkins great size,Aesthetics
0.10321708,0.8232198,0.07356312,stated fabric true weight,Aesthetics
0.019515827,0.29845285,0.6820313,nice weight,Aesthetics
0.10190678,0.82776594,0.07032726,fabric little thinner expecting,Aesthetics
0.03271782,0.20564628,0.7616359,fabric perfect,Aesthetics
0.014047635,0.22500457,0.7609478,quality workmanship good,Aesthetics
0.18470302,0.63066137,0.1846356,large,Aesthetics
0.031109953,0.5825848,0.38630527,perfect packing school lunches,Adaptability
0.16476306,0.5765857,0.25865126,look,Aesthetics
0.056287657,0.54531866,0.3983937,eye appealing,Aesthetics
0.025587466,0.75581855,0.21859397,comfort playability durability evident upon first use,Durability
0.18759513,0.6443127,0.16809219,sturdy,Durability
0.2881715,0.658834,0.05299451,sturdy regular plastic utensils,Durability
0.31010222,0.5747051,0.115192674,better plastic silverware sturdier,Durability
0.040079825,0.80382305,0.15609713,true test seeing durable utensils,Durability
0.1075417,0.54917985,0.3432784,product sturdy,Durability
0.04378773,0.44661576,0.50959647,super durable,Durability
0.37873793,0.5643519,0.056910206,thin near tips good spearing things bent tip could easily break problem,Durability
0.18759513,0.6443127,0.16809219,sturdy,Durability
0.49110132,0.45539677,0.05350198,wash easily,Ease of Reprocessing
0.025587466,0.75581855,0.21859397,comfort playability durability evident upon first use,Ease of Use
0.017299198,0.44869936,0.53400147,also comfortable,Ergonomics
0.025587466,0.75581855,0.21859397,comfort playability durability evident upon first use,Ergonomics
0.011311749,0.15089713,0.8377911,nice feel,Ergonomics
0.0728639,0.33713064,0.59000546,felt much better using plastic ones,Aesthetics
0.0064678,0.1181909,0.87534124,box last quite awhile great,Aesthetics
0.0041915174,0.109259665,0.8865488,packaging great folks easily grab whichever utensil want,Aesthetics
0.7268932,0.2562312,0.016875613,dissappointed quality forks,Performance
0.010888901,0.08666322,0.90244794,great product,Performance
0.026810069,0.43352363,0.53966624,job well,Performance
0.017276892,0.51986516,0.46285796,surprisingly effective cutting turkey ham,Performance
0.04819916,0.53763336,0.41416752,huge investment,Price
0.028193263,0.86355716,0.108249575,additional organization provided pockets sides protects glass items,Adaptability
0.0047760657,0.102477655,0.89274627,interior sleeves work great keep bottles place full bag,Adaptability
0.025717977,0.50605154,0.46823046,really like bottle pockets,Adaptability
0.011481854,0.56535935,0.42315876,bottle sleeves useful keep bottles long heavy items upright,Adaptability
0.044787653,0.8728219,0.08239038,inside pockets keep bottles juice milk wine upright groceries center bag,Adaptability
0.1793023,0.67497844,0.1457193,versatile,Adaptability
0.039722715,0.4331733,0.52710396,pleasant color,Aesthetics
0.011984578,0.10046776,0.8875477,loved bags washed three shrink,Durability
0.06484509,0.47159773,0.46355718,strong,Durability
0.18759513,0.6443127,0.16809219,sturdy,Durability
0.007899774,0.280417,0.7116832,sturdy well made bags,Durability
0.049151108,0.5905381,0.36031076,strong bags,Durability
0.06411565,0.54531175,0.39057258,bags sturdy,Durability
0.0064293277,0.12030427,0.87326646,still great shape,Durability
0.22027048,0.5611728,0.21855673,durable,Durability
0.18759513,0.6443127,0.16809219,sturdy,Durability
0.18759513,0.6443127,0.16809219,sturdy,Durability
0.23640323,0.7135824,0.050014347,removed washing machine shrunk,Durability
0.11835089,0.6102669,0.27138215,easy sew,Ease of Reprocessing
0.043458838,0.5821906,0.37435067,machine washable important,Ease of Reprocessing
0.008952327,0.26522863,0.72581905,plus easy wash,Ease of Reprocessing
0.06720547,0.8417822,0.091012366,fold two bags store third keeping bags car,Ease of Storage
0.096172534,0.7887639,0.11506353,fold flat fit trunk worries,Ease of Storage
0.038622223,0.38678274,0.57459503,storing easy enough,Ease of Storage
0.14634834,0.6265107,0.22714096,easy load,Ease of Use
0.037855003,0.4828197,0.47932526,makes unloading simpler,Ease of Use
0.011481854,0.56535935,0.42315876,bottle sleeves useful keep bottles long heavy items upright,Ease of Use
0.061584227,0.8594523,0.07896345,stand either use one hand hold fill,Ease of Use
0.0039714575,0.09546788,0.9005606,handles excellent carrying well hand,Ergonomics
0.25229436,0.62971294,0.11799273,bags quite bulky makes difference carry instead,Ergonomics
0.13722885,0.6968288,0.16594236,soft cotton,Ergonomics
0.022666484,0.8050973,0.1722362,wide straps comfortably hang shoulder,Ergonomics
0.0138200745,0.52023757,0.46594235,wide comfortable straps,Ergonomics
0.7788274,0.2077839,0.013388721,often frustrated bag inability stay open filling,Interference
0.09092122,0.78591514,0.12316369,like straps side pockets,Aesthetics
0.08799855,0.8756981,0.036303382,like buy products made united states possible personal preference called company asked manufactured said part india,Aesthetics
0.0047760657,0.102477655,0.89274627,interior sleeves work great keep bottles place full bag,Performance
0.0052809846,0.039353218,0.95536584,excellent product,Performance
0.14677927,0.7962146,0.05700606,hold lot weight products,Performance
0.10754486,0.8259993,0.06645587,wish bags come kind rigid base bottom prevent items bunching ball bag filled tightly,Performance
0.20102262,0.57254493,0.22643244,roomy,Performance
0.44586372,0.52296394,0.031172303,stay square carry ton groceries random heavy crap,Performance
0.0049624476,0.13244703,0.8625905,bottle sides awesome wine squishing rest groceries,Performance
0.18829165,0.7259084,0.08580002,bags hold lot,Performance
0.058178496,0.3083001,0.63352144,great,Performance
0.10162828,0.7274671,0.17090459,fit lot one bag,Performance
0.16676135,0.7458947,0.08734399,little smaller size thinking,Aesthetics
0.7891374,0.19868246,0.012180125,bags appear shrink colors definitely bleed,Aesthetics
0.24387299,0.7125769,0.043550104,buy fewer items would bags,Use Efficiency
0.043915417,0.78188837,0.17419624,use bags carry even bags worth groceries,Use Efficiency
0.7788274,0.2077839,0.013388721,often frustrated bag inability stay open filling,Use Efficiency
0.037855003,0.4828197,0.47932526,makes unloading simpler,Use Efficiency
0.03323419,0.7394139,0.22735184,spray settings really get done,Adaptability
0.061831143,0.80790776,0.13026108,especially like flow control,Adaptability
0.71768963,0.27176237,0.010548055,leaked probably bad unit bit back part hookup area,Durability
0.0024275875,0.10224487,0.89532757,decent heft felt fairly solid overall,Durability
0.9490545,0.048007168,0.002938406,shut unit makes cheap connections leak even worse,Durability
0.2828494,0.4885775,0.22857317,rust,Durability
0.6315094,0.3491696,0.019320998,leaks every connection,Durability
0.20322064,0.6685306,0.12824881,always leaked matter,Durability
0.2369608,0.5084041,0.25463513,secure,Durability
0.06592168,0.84993917,0.08413922,metal hose metal short flexable,Ease of Use
0.28704962,0.6876227,0.025327679,problem angle limits movement showerhead,Ease of Use
0.5469016,0.42527696,0.027821511,hose also extremely stiff,Ease of Use
0.3450502,0.587287,0.06766278,hose really stiff,Ease of Use
0.06935938,0.89327747,0.037363164,basically sit underneath shower head directly next shower wall get water,Ease of Use
0.17607942,0.69172806,0.13219249,wife like one heavy,Ergonomics
0.014095282,0.67356193,0.31234285,less dense drop metal bare toes appreciate also wo chip tile,Interference
0.054693535,0.5140538,0.43125257,nice quiet,Interference
0.77326,0.2183302,0.008409859,metal parts make subsequent cleaning repairs difficult accomplish,Aesthetics
0.023630382,0.33521375,0.64115584,easy install reinstall nice quiet especially like flow control also like ability adjust flow three settings wife like one heavy says feels like iron slippery,Aesthetics
0.031940147,0.46020192,0.5078579,easy use install,Aesthetics
0.02635551,0.5947922,0.37885228,installation fairly straightforward,Aesthetics
0.03506777,0.5981744,0.36675787,sits extremely high precariously cradle though,Aesthetics
0.065498546,0.7179575,0.21654399,easy install follow directions,Aesthetics
0.00850068,0.12672533,0.864774,seemed pretty easy install,Aesthetics
0.63822824,0.3378987,0.023873104,adequate taking showers rinsing etc,Performance
0.04015984,0.5948669,0.36497328,definitely provide high enough pressure,Performance
0.9490545,0.048007168,0.002938406,shut unit makes cheap connections leak even worse,Performance
0.06306823,0.6741391,0.26279262,gets job done,Performance
0.58423454,0.38217735,0.033588093,high expectations far water pressure left disappointed nonetheless,Performance
0.006366266,0.092515446,0.9011183,pressure actually quite good flow regulator place,Performance
0.206163,0.7227997,0.07103732,saves water barely comes,Performance
0.009840348,0.37389088,0.6162688,going get nice flow shower head,Performance
0.1375212,0.61247915,0.24999964,save money cut water consumption,Price
0.24619594,0.48167604,0.2721281,really liked sort c shaped hose holder instead normal sort upside u holders find easily fail resulting getting hit head showerhead,Safety
0.014095282,0.67356193,0.31234285,less dense drop metal bare toes appreciate also wo chip tile,Safety
0.2369608,0.5084041,0.25463513,secure,Safety
0.0063970084,0.36480156,0.6288014,bought trip yellowstone found one useful,Adaptability
0.003034656,0.26041567,0.7365496,moving right big help keeping light meal snack beverage ready use,Adaptability
0.005248666,0.049703054,0.94504833,husband love road traveling lot fridge one favor stuff,Adaptability
0.004928907,0.06861667,0.92645437,worked great road trip,Adaptability
0.008605504,0.11980284,0.8715917,aesthetically nice,Aesthetics
0.4807264,0.42604107,0.09323257,months broke,Durability
0.024751894,0.44232953,0.5329186,strong sturdy quality,Durability
0.20689937,0.6925523,0.100548245,thing cooler cant hold temperature low long stays car sun,Durability
0.052739415,0.639102,0.30815864,light easy hook,Ease of Use
0.23137453,0.6152086,0.15341681,quiet,Interference
0.7912517,0.19360556,0.015142672,fan really noisy,Interference
0.11608318,0.6742258,0.20969102,fan loud,Interference
0.093227156,0.74476075,0.16201207,consistent refrigerator,Performance
0.0699675,0.499603,0.43042952,cools fine,Performance
0.003034656,0.26041567,0.7365496,moving right big help keeping light meal snack beverage ready use,Performance
0.009856112,0.24606645,0.7440774,keeps cans soda cold surprised worked well,Performance
0.509475,0.44925958,0.041265406,keeps drinks really cold,Performance
0.0051593157,0.08589955,0.90894115,far good,Performance
0.0035927922,0.043586817,0.9528204,machine works great also improved road trip quality,Performance
0.004928907,0.06861667,0.92645437,worked great road trip,Performance
0.15878707,0.674042,0.16717097,quality product worth cost,Price
0.032348476,0.3034448,0.66420674,good value,Price
0.09388005,0.54262817,0.36349183,ca fit,Ease of Storage
0.37550473,0.5450025,0.07949275,keeps drinks really cold pretty quickly,Use Efficiency
0.5062593,0.4524479,0.041292816,takes hours get cold,Use Efficiency
0.018387096,0.48169446,0.49991846,temperature cools really fast,Use Efficiency
0.0061018593,0.07936778,0.91453034,almost many neat features,Adaptability
0.042797033,0.45383766,0.5033653,put amazing amount steam unwrinkle many obstinate creases,Adaptability
0.009299314,0.1831351,0.8075655,easy use great fabrics,Adaptability
0.0045481753,0.14974019,0.84571165,steam strong way tip great getting small spots,Adaptability
0.008269521,0.0885601,0.9031704,beautiful iron,Aesthetics
0.021241443,0.3550672,0.6236914,good sturdy iron,Durability
0.8401078,0.15411082,0.0057813316,however iron leaks water leaks even dry position,Durability
0.009152691,0.38110882,0.6097385,actually like weight lighter irons often feel like durable,Durability
0.0047678133,0.18927248,0.80595976,always purchased rowenta products find brand reliable iron really takes next level,Durability
0.87467605,0.12081991,0.004504018,piece water supply inlet broke like comments iron leaks water base,Durability
0.17039809,0.72984654,0.09975533,power cord cheaply made mine cracked first month normal use,Durability
0.06946985,0.50307465,0.42745554,easy use,Ease of Use
0.06946985,0.50307465,0.42745554,easy use,Ease of Use
0.009299314,0.1831351,0.8075655,easy use great fabrics,Ease of Use
0.1333738,0.7726945,0.093931705,comfort handle,Ergonomics
0.33461094,0.60596716,0.059421893,heat knob setting easily dislodged altered fat fingers like mine,Interference
0.11077573,0.82897985,0.060244378,pain add water empty every day,Interference
0.06454128,0.762212,0.17324676,large water reservoir,Aesthetics
0.00491938,0.10831189,0.88676876,recommend product works well,Performance
0.098875,0.7933868,0.10773818,gets hot irons clothes,Performance
0.015911898,0.26392198,0.7201662,worked flawlessly,Performance
0.071062736,0.62402636,0.30491093,works better iron,Performance
0.011140859,0.08923269,0.89962643,wow best iron ive ever owned,Performance
0.13265637,0.67222565,0.19511797,price iron better quality,Price
0.04368938,0.27100584,0.68530476,great price,Price
0.104212716,0.7769515,0.118835814,iron takes moments heat,Use Efficiency
0.06801884,0.5978598,0.33412135,gets hot really fast,Use Efficiency
0.008843846,0.42674175,0.5644144,heats quickly,Use Efficiency
0.08961421,0.65758646,0.25279933,works fast,Use Efficiency
0.054655362,0.85211647,0.09322818,wash personal laundry shirts jeans towels wash cloths twin sized sheets pillowcases,Adaptability
0.0030048846,0.0691015,0.9278936,also great road trips camping,Adaptability
0.019786257,0.46311724,0.51709646,support holds everything together sturdy thought,Durability
0.7084211,0.26757982,0.023999004,poor durability,Durability
0.18759513,0.6443127,0.16809219,sturdy,Durability
0.9159602,0.077945575,0.0060942476,cheap flimsy plastic housing broke fifth usage,Durability
0.025955796,0.4032023,0.5708419,definitely could made durable,Durability
0.05235477,0.6322477,0.3153975,assembly easy light weight,Ease of Use
0.04382545,0.43255487,0.5236197,little machine easy put together,Ease of Use
0.19230379,0.59563017,0.21206601,compact,Ease of Storage
0.26101217,0.6971629,0.041824907,daughter college student needed something portable require electricity due dorm room regulations,Ease of Storage
0.06946985,0.50307465,0.42745554,easy use,Ease of Use
0.028918674,0.7501635,0.2209179,hand crank easy turn,Ease of Use
0.00544765,0.1447253,0.84982705,kids fun spinning,Performance
0.2094824,0.7510937,0.039423876,suction cups bottom machine mean set tub tiled surface need put effort getting back,Interference
0.012519948,0.1000717,0.8874083,great job getting clothes clean,Performance
0.00543908,0.092467844,0.9020931,works really well,Performance
0.010649174,0.12797974,0.8613711,works excellent,Performance
0.015567607,0.32295096,0.6614814,works well,Performance
0.02432532,0.49473238,0.4809423,works well clothes come clean,Performance
0.25350583,0.6797655,0.0667287,happy save money would used laundromat,Price
0.047326148,0.71803147,0.23464245,already paid time savings cost product use,Price
0.006698457,0.2073585,0.78594303,making easy budget well,Price
0.011822451,0.11097718,0.8772003,washer great money saving idea,Price
0.22610302,0.52463746,0.24925953,efficient,Use Efficiency
0.16968808,0.59047866,0.23983327,fast,Use Efficiency
0.10461139,0.8106492,0.084739365,holds lot clothing thought would,Use Efficiency
0.11167801,0.8165841,0.07173785,takes minutes time wash,Use Efficiency
0.048374254,0.84806484,0.103560925,beginning notice towels two sides different texture one side softer silkier side absorbent,Adaptability
0.080208786,0.85669655,0.06309466,also like size color feel weight towel,Aesthetics
0.0061868373,0.107224874,0.88658834,chocolate color rich brown nice,Aesthetics
0.06872803,0.8795558,0.051716145,keeps shape pill stray strands,Durability
0.22685736,0.7065353,0.06660735,pilling loose threads,Durability
0.08936673,0.8348756,0.07575767,loops middle towel pulled first wash,Durability
0.960197,0.036762144,0.0030408392,pulling dryer soo disappointed find falling apart shedding everywhere,Durability
0.025864804,0.30537924,0.66875595,good quality fabric,Durability
0.042142596,0.6658363,0.29202113,washed three times already washed well,Durability
0.13991207,0.80691564,0.053172242,thick plush held washing,Durability
0.07227073,0.7805325,0.14719686,soft already coming apart arrived,Durability
0.7216548,0.26969755,0.008647691,used towels already several times see issues,Durability
0.055856984,0.8090764,0.13506667,dries quickly enough rack overnight,Ease of Reprocessing
0.10349611,0.7351946,0.16130929,dry quickly,Ease of Reprocessing
0.025864804,0.30537924,0.66875595,good quality fabric,Ergonomics
0.080208786,0.85669655,0.06309466,also like size color feel weight towel,Ergonomics
